institute,themes,mention_count
Allen,academic_pressure,2
Allen,batch_placement,3
Allen,batch_size,1
Allen,faculty_quality,21
Allen,fees,16
Allen,hostel_mess,12
Allen,infrastructure,7
Allen,marketing_credibility,1
Allen,uncategorized,540
Bansal Classes,academic_pressure,3
Bansal Classes,batch_placement,1
Bansal Classes,faculty_quality,46
Bansal Classes,fees,13
Bansal Classes,hostel_mess,10
Bansal Classes,infrastructure,4
Bansal Classes,marketing_credibility,1
Bansal Classes,uncategorized,473
Career Point,academic_pressure,1
Career Point,batch_placement,2
Career Point,faculty_quality,11
Career Point,fees,40
Career Point,hostel_mess,5
Career Point,infrastructure,3
Career Point,uncategorized,339
Motion Education,academic_pressure,3
Motion Education,faculty_quality,22
Motion Education,fees,23
Motion Education,hostel_mess,5
Motion Education,infrastructure,1
Motion Education,marketing_credibility,4
Motion Education,uncategorized,432
Resonance,academic_pressure,5
Resonance,faculty_quality,28
Resonance,fees,9
Resonance,hostel_mess,47
Resonance,infrastructure,6
Resonance,uncategorized,475
Vibrant Academy,faculty_quality,20
Vibrant Academy,fees,3
Vibrant Academy,marketing_credibility,1
Vibrant Academy,uncategorized,157
